Asset_Prices,C|S|4900|60|1,P|L|4900|60|1,C|L|5000|60|2,P|S|5000|60|2,P|L|5300|60|1,C|L|5300|60|1
5153.84,-253.84,0.00,307.68,-0.00,146.16,0.00
5119.15,-219.15,0.00,238.30,-0.00,180.85,0.00
5346.68,-446.68,0.00,693.36,-0.00,0.00,46.68
5450.63,-550.63,0.00,901.25,-0.00,0.00,150.63
5198.36,-298.36,0.00,396.72,-0.00,101.64,0.00
5426.78,-526.78,0.00,853.57,-0.00,0.00,126.78
4403.93,-0.00,496.07,0.00,-1192.14,896.07,0.00
4339.10,-0.00,560.90,0.00,-1321.80,960.90,0.00
4126.16,-0.00,773.84,0.00,-1747.68,1173.84,0.00
4834.09,-0.00,65.91,0.00,-331.82,465.91,0.00
5124.75,-224.75,0.00,249.50,-0.00,175.25,0.00
5622.26,-722.26,0.00,1244.52,-0.00,0.00,322.26
5487.43,-587.43,0.00,974.86,-0.00,0.00,187.43
4979.05,-79.05,0.00,0.00,-41.89,320.95,0.00
5478.30,-578.30,0.00,956.60,-0.00,0.00,178.30
5448.16,-548.16,0.00,896.33,-0.00,0.00,148.16
4433.79,-0.00,466.21,0.00,-1132.43,866.21,0.00
5417.38,-517.38,0.00,834.75,-0.00,0.00,117.38
5510.49,-610.49,0.00,1020.98,-0.00,0.00,210.49
5528.84,-628.84,0.00,1057.68,-0.00,0.00,228.84
4865.56,-0.00,34.44,0.00,-268.88,434.44,0.00
4810.81,-0.00,89.19,0.00,-378.37,489.19,0.00
5684.97,-784.97,0.00,1369.94,-0.00,0.00,384.97
5342.66,-442.66,0.00,685.32,-0.00,0.00,42.66
5849.63,-949.63,0.00,1699.25,-0.00,0.00,549.63
4785.86,-0.00,114.14,0.00,-428.27,514.14,0.00
4604.70,-0.00,295.30,0.00,-790.60,695.30,0.00
5597.87,-697.87,0.00,1195.74,-0.00,0.00,297.87
4966.00,-66.00,0.00,0.00,-67.99,334.00,0.00
5251.46,-351.46,0.00,502.92,-0.00,48.54,0.00
4918.59,-18.59,0.00,0.00,-162.81,381.41,0.00
5135.16,-235.16,0.00,270.31,-0.00,164.84,0.00
4755.02,-0.00,144.98,0.00,-489.95,544.98,0.00
4818.41,-0.00,81.59,0.00,-363.17,481.59,0.00
5013.19,-113.19,0.00,26.38,-0.00,286.81,0.00
4808.49,-0.00,91.51,0.00,-383.02,491.51,0.00
5774.53,-874.53,0.00,1549.06,-0.00,0.00,474.53
4304.78,-0.00,595.22,0.00,-1390.44,995.22,0.00
5013.41,-113.41,0.00,26.83,-0.00,286.59,0.00
5262.60,-362.60,0.00,525.21,-0.00,37.40,0.00
4523.84,-0.00,376.16,0.00,-952.33,776.16,0.00
4295.13,-0.00,604.87,0.00,-1409.74,1004.87,0.00
5066.57,-166.57,0.00,133.14,-0.00,233.43,0.00
5039.75,-139.75,0.00,79.50,-0.00,260.25,0.00
4449.71,-0.00,450.29,0.00,-1100.59,850.29,0.00
5090.88,-190.88,0.00,181.76,-0.00,209.12,0.00
