Asset_Prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
5396.93,1984.63,-0.00,515.37,-0.00
4384.30,0.00,-0.00,5578.48,-3078.48
4606.87,0.00,-0.00,4465.65,-1965.65
5801.45,4007.24,-1507.24,0.00,-0.00
4498.09,0.00,-0.00,5009.55,-2509.55
4330.53,0.00,-0.00,5847.36,-3347.36
4568.02,0.00,-0.00,4659.92,-2159.92
4772.65,0.00,-0.00,3636.76,-1136.76
4703.82,0.00,-0.00,3980.89,-1480.89
4911.37,0.00,-0.00,2943.15,-443.15
5227.36,1136.78,-0.00,1363.22,-0.00
5515.57,2577.85,-77.85,0.00,-0.00
5105.22,526.09,-0.00,1973.91,-0.00
4903.05,0.00,-0.00,2984.77,-484.77
5778.34,3891.72,-1391.72,0.00,-0.00
4788.22,0.00,-0.00,3558.90,-1058.90
4896.18,0.00,-0.00,3019.11,-519.11
5329.04,1645.19,-0.00,854.81,-0.00
5116.38,581.90,-0.00,1918.10,-0.00
5790.90,3954.51,-1454.51,0.00,-0.00
5204.36,1021.78,-0.00,1478.22,-0.00
5766.22,3831.12,-1331.12,0.00,-0.00
4539.53,0.00,-0.00,4802.33,-2302.33
4938.76,0.00,-0.00,2806.20,-306.20
5105.41,527.04,-0.00,1972.96,-0.00
5184.34,921.70,-0.00,1578.30,-0.00
4851.69,0.00,-0.00,3241.57,-741.57
4987.13,0.00,-0.00,2564.33,-64.33
4877.22,0.00,-0.00,3113.88,-613.88
4927.79,0.00,-0.00,2861.05,-361.05
6198.17,5990.87,-3490.87,0.00,-0.00
4595.92,0.00,-0.00,4520.41,-2020.41
5737.19,3685.93,-1185.93,0.00,-0.00
5248.42,1242.11,-0.00,1257.89,-0.00
5558.78,2793.92,-293.92,0.00,-0.00
4631.46,0.00,-0.00,4342.70,-1842.70
4788.50,0.00,-0.00,3557.52,-1057.52
4942.71,0.00,-0.00,2786.44,-286.44
5036.70,183.48,-0.00,2316.52,-0.00
4773.17,0.00,-0.00,3634.17,-1134.17
4779.27,0.00,-0.00,3603.63,-1103.63
4527.88,0.00,-0.00,4860.61,-2360.61
5178.14,890.69,-0.00,1609.31,-0.00
5006.38,31.90,-0.00,2468.10,-0.00
5094.14,470.70,-0.00,2029.30,-0.00
5096.16,480.79,-0.00,2019.21,-0.00
4455.82,0.00,-0.00,5220.90,-2720.90
4658.41,0.00,-0.00,4207.97,-1707.97
5287.87,1439.36,-0.00,1060.64,-0.00
4966.04,0.00,-0.00,2669.81,-169.81
5253.15,1265.76,-0.00,1234.24,-0.00
4701.26,0.00,-0.00,3993.72,-1493.72
4918.34,0.00,-0.00,2908.31,-408.31
5097.99,489.93,-0.00,2010.07,-0.00
5520.03,2600.15,-100.15,0.00,-0.00
5216.18,1080.91,-0.00,1419.09,-0.00
5473.57,2367.85,-0.00,132.15,-0.00
4992.00,0.00,-0.00,2540.01,-40.01
4599.47,0.00,-0.00,4502.67,-2002.67
5234.16,1170.81,-0.00,1329.19,-0.00
4608.13,0.00,-0.00,4459.33,-1959.33
5274.20,1371.01,-0.00,1128.99,-0.00
4928.25,0.00,-0.00,2858.73,-358.73
4309.60,0.00,-0.00,5952.00,-3452.00
5463.04,2315.22,-0.00,184.78,-0.00
6407.75,7038.76,-4538.76,0.00,-0.00
5304.45,1522.23,-0.00,977.77,-0.00
5086.38,431.90,-0.00,2068.10,-0.00
4459.90,0.00,-0.00,5200.48,-2700.48
4659.74,0.00,-0.00,4201.30,-1701.30
5089.42,447.08,-0.00,2052.92,-0.00
5715.75,3578.75,-1078.75,0.00,-0.00
4962.64,0.00,-0.00,2686.80,-186.80
4429.57,0.00,-0.00,5352.13,-2852.13
5055.72,278.61,-0.00,2221.39,-0.00
5011.91,59.55,-0.00,2440.45,-0.00
4858.91,0.00,-0.00,3205.44,-705.44
5490.29,2451.44,-0.00,48.56,-0.00
4711.46,0.00,-0.00,3942.68,-1442.68
4877.33,0.00,-0.00,3113.36,-613.36
3929.74,0.00,-0.00,7851.30,-5351.30
5538.24,2691.18,-191.18,0.00,-0.00
4656.21,0.00,-0.00,4218.95,-1718.95
5451.58,2257.91,-0.00,242.09,-0.00
5520.66,2603.28,-103.28,0.00,-0.00
4906.24,0.00,-0.00,2968.82,-468.82
4625.98,0.00,-0.00,4370.12,-1870.12
4777.34,0.00,-0.00,3613.29,-1113.29
5399.55,1997.76,-0.00,502.24,-0.00
5436.27,2181.33,-0.00,318.67,-0.00
5523.72,2618.60,-118.60,0.00,-0.00
4678.99,0.00,-0.00,4105.05,-1605.05
5462.64,2313.18,-0.00,186.82,-0.00
4751.03,0.00,-0.00,3744.86,-1244.86
5323.42,1617.10,-0.00,882.90,-0.00
5358.48,1792.40,-0.00,707.60,-0.00
5029.46,147.28,-0.00,2352.72,-0.00
4426.78,0.00,-0.00,5366.10,-2866.10
5305.72,1528.62,-0.00,971.38,-0.00
4607.36,0.00,-0.00,4463.19,-1963.19
5134.51,672.56,-0.00,1827.44,-0.00
4971.44,0.00,-0.00,2642.78,-142.78
4939.52,0.00,-0.00,2802.41,-302.41
5120.61,603.06,-0.00,1896.94,-0.00
5174.47,872.33,-0.00,1627.67,-0.00
4849.34,0.00,-0.00,3253.30,-753.30
4970.07,0.00,-0.00,2649.67,-149.67
5689.01,3445.05,-945.05,0.00,-0.00
5439.55,2197.75,-0.00,302.25,-0.00
5164.42,822.08,-0.00,1677.92,-0.00
4656.34,0.00,-0.00,4218.28,-1718.28
5119.44,597.22,-0.00,1902.78,-0.00
5353.64,1768.19,-0.00,731.81,-0.00
5364.81,1824.06,-0.00,675.94,-0.00
4925.16,0.00,-0.00,2874.22,-374.22
5782.63,3913.17,-1413.17,0.00,-0.00
5531.70,2658.51,-158.51,0.00,-0.00
4868.24,0.00,-0.00,3158.82,-658.82
4248.22,0.00,-0.00,6258.89,-3758.89
5565.95,2829.75,-329.75,0.00,-0.00
5555.55,2777.74,-277.74,0.00,-0.00
4988.81,0.00,-0.00,2555.96,-55.96
4842.32,0.00,-0.00,3288.42,-788.42
4853.37,0.00,-0.00,3233.15,-733.15
5171.06,855.29,-0.00,1644.71,-0.00
